service_id,date,exception_type
4640:GVB:269:W:WE,20170526,1
4640:GVB:269:W:WE,20170529,1
4640:GVB:269:W:WE,20170530,1
4640:GVB:269:W:WE,20170531,1
4640:GVB:269:W:WE,20170601,1
4640:GVB:269:W:WE,20170602,1
4640:GVB:269:W:WE,20170605,1
4640:GVB:269:W:WE,20170606,1
4640:GVB:269:W:WE,20170607,1
4281:GVB:18:W:WE,20170323,1
4281:GVB:18:W:WE,20170324,1
4281:GVB:18:W:WE,20170327,1
4281:GVB:18:W:WE,20170328,1
4281:GVB:18:W:WE,20170329,1
4281:GVB:18:W:WE,20170330,1
4281:GVB:18:W:WE,20170811,1
4281:GVB:269:W:WE,20170120,1
4281:GVB:269:W:WE,20170123,1
4281:GVB:269:W:WE,20170124,1
4281:GVB:269:W:WE,20170127,1
4281:GVB:269:W:WE,20170130,1
4281:GVB:269:W:WE,20170131,1
4281:GVB:269:W:WE,20170201,1
4281:GVB:269:W:WE,20170202,1
4281:GVB:269:W:WE,20170203,1
4281:GVB:269:W:WE,20170206,1
4281:GVB:269:W:WE,20170207,1
4281:GVB:269:W:WE,20170208,1
4281:GVB:269:W:WE,20170209,1
4281:GVB:269:W:WE,20170210,1
4281:GVB:269:W:WE,20170213,1
4281:GVB:269:W:WE,20170214,1
4281:GVB:269:W:WE,20170215,1
4281:GVB:269:W:WE,20170216,1
4281:GVB:755:W:WE,20170310,1
4281:GVB:755:W:WE,20170313,1
4281:GVB:755:W:WE,20170725,1
4281:GVB:755:W:WE,20170726,1
4281:GVB:755:W:WE,20170727,1
4281:GVB:755:W:WE,20170728,1
4281:GVB:755:W:WE,20170731,1
4281:GVB:755:W:WE,20170801,1
4281:GVB:755:W:WE,20170802,1
4281:GVB:755:W:WE,20170803,1
4281:GVB:755:W:WE,20170804,1
4281:GVB:755:W:WE,20170807,1
4281:GVB:755:W:WE,20170808,1
4281:GVB:755:W:WE,20170809,1
4281:GVB:755:W:WE,20170810,1
4281:GVB:755:W:WE,20170811,1
4281:GVB:755:W:WE,20170814,1
4281:GVB:461:AA:WE,20170915,1
4281:GVB:461:AA:WE,20170918,1
4281:GVB:461:AA:WE,20170919,1
4281:GVB:461:AA:WE,20170920,1
4281:GVB:12:W:WE,20170920,1
4281:GVB:14:W:WE,20170206,1
4281:GVB:14:W:WE,20170207,1
4281:GVB:14:W:WE,20170208,1
4281:GVB:14:W:WE,20170209,1
4281:GVB:14:W:WE,20170210,1
4281:GVB:14:W:WE,20170213,1
4281:GVB:14:W:WE,20170214,1
4281:GVB:14:W:WE,20170215,1
4281:GVB:14:W:WE,20170216,1
4281:GVB:14:W:WE,20170217,1
4649:GVB:48:W:ZO,20170618,1
4649:GVB:48:W:ZO,20170625,1
4649:GVB:48:W:ZO,20170702,1
4649:GVB:48:W:ZO,20170709,1
4649:GVB:48:W:ZO,20170716,1
4649:GVB:48:W:ZO,20170723,1
4649:GVB:48:W:ZO,20170730,1
4649:GVB:48:W:ZO,20170806,1
4649:GVB:48:W:ZO,20170813,1
4649:GVB:48:W:ZO,20170820,1
4649:GVB:48:W:ZO,20170827,1
4649:GVB:48:W:ZO,20170903,1
4649:GVB:48:W:ZO,20170910,1
4649:GVB:48:W:ZO,20170917,1
4649:GVB:48:W:ZO,20170924,1
4649:GVB:48:W:ZO,20171001,1
4649:GVB:48:W:ZO,20171008,1
4649:GVB:48:W:ZO,20171015,1
4649:GVB:48:W:ZO,20171022,1
4649:GVB:48:W:ZO,20171029,1
4649:GVB:48:W:ZO,20171105,1
4649:GVB:48:W:ZO,20171112,1
4649:GVB:48:W:ZO,20171119,1
4649:GVB:48:W:ZO,20171126,1
4649:GVB:48:W:ZO,20171203,1
4649:GVB:48:W:WE,20170227,1
4649:GVB:48:W:WE,20170228,1
4649:GVB:48:W:WE,20170301,1
4649:GVB:48:W:WE,20170302,1
4649:GVB:48:W:WE,20170303,1
4649:GVB:48:W:WE,20170306,1
4649:GVB:48:W:WE,20170307,1
4649:GVB:48:W:WE,20170308,1
4649:GVB:48:W:WE,20170309,1
4649:GVB:48:W:WE,20170310,1
4649:GVB:48:W:WE,20170313,1
4649:GVB:48:W:WE,20170314,1
4649:GVB:48:W:WE,20170315,1
4649:GVB:48:W:WE,20170316,1
4649:GVB:48:W:WE,20170317,1
4649:GVB:48:W:WE,20170320,1
4649:GVB:48:W:WE,20170321,1
4649:GVB:48:W:WE,20170322,1
4649:GVB:48:W:WE,20170323,1
4649:GVB:48:W:WE,20170324,1
4649:GVB:48:W:WE,20170327,1
4649:GVB:48:W:WE,20170328,1
4649:GVB:48:W:WE,20170329,1
4649:GVB:48:W:WE,20170330,1
