stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
GVB:00321,00321,"Amsterdam, Gaasperplas (uitstap)",52.310913,4.985136,0,stoparea:GVB:09550,,0,,
GVB:00322,00322,"Amsterdam, Gaasperplas",52.311147,4.985164,0,stoparea:GVB:09550,,0,,
GVB:00323,00323,"Amsterdam, Gaasperplas",52.311093,4.985193,0,stoparea:GVB:09550,,0,,
GVB:00330,00330,"Amsterdam, Middenweg",52.350447,4.934554,0,stoparea:GVB:00065,,0,,
GVB:00331,00331,"Amsterdam, Station Reigersbos",52.297373,4.973502,0,stoparea:GVB:09528,,1,,
GVB:00332,00332,"Amsterdam, Schoonhovendreef",52.293818,4.974488,0,stoparea:GVB:00332,,1,,
GVB:00333,00333,"Amsterdam, Schoonhovendreef",52.294025,4.974633,0,stoparea:GVB:00332,,1,,
GVB:00334,00334,"Amsterdam, Scherpenzeelstraat",52.292767,4.9774,0,stoparea:GVB:00334,,1,,
GVB:00335,00335,"Amsterdam, Scherpenzeelstraat",52.292874,4.977238,0,stoparea:GVB:00334,,1,,
GVB:00336,00336,"Amsterdam, Schaarsbergenstraat",52.292656,4.981578,0,stoparea:GVB:00336,,1,,
GVB:00337,00337,"Amsterdam, Schaarsbergenstraat",52.292754,4.981299,0,stoparea:GVB:00336,,1,,
GVB:00338,00338,"Amsterdam, Staverdenplein",52.292824,4.986018,0,stoparea:GVB:00338,,1,,
GVB:00339,00339,"Amsterdam, Staverdenplein",52.292895,4.985842,0,stoparea:GVB:00338,,1,,
GVB:00341,00341,"Amsterdam, Woudrichemstraat",52.294181,4.98882,0,stoparea:GVB:00340,,1,,
GVB:00343,00343,"Amsterdam, W. Gertenbachstraat",52.298631,4.989147,0,stoparea:GVB:00342,,1,,
GVB:00344,00344,"Amsterdam, W. Gertenbachstraat",52.298883,4.989291,0,stoparea:GVB:00344,,,,
GVB:00345,00345,"Amsterdam, Station Gein",52.296249,4.98911,0,stoparea:GVB:09530,,1,,
GVB:00346,00346,"Amsterdam, Station Gein",52.296439,4.989357,0,stoparea:GVB:09530,,1,,
GVB:00347,00347,"Amsterdam, Haardstee",52.311161,4.95104,0,stoparea:GVB:00347,,0,,
GVB:00348,00348,"Amsterdam, Haardstee",52.311045,4.951364,0,stoparea:GVB:00347,,0,,
GVB:00349,00349,"Amsterdam, Woudrichemstraat",52.294335,4.989054,0,stoparea:GVB:00349,,,,
GVB:00351,00351,"Amsterdam, Dostojevskisingel",52.322751,4.94525,0,stoparea:GVB:00351,,1,,
GVB:00352,00352,"Amsterdam, Dostojevskisingel",52.323144,4.944571,0,stoparea:GVB:00351,,1,,
GVB:00364,00364,"Diemen, Boven Rijkersloot",52.334624,4.954977,0,stoparea:GVB:00364,,1,,
GVB:00365,00365,"Diemen, Boven Rijkersloot",52.335012,4.955442,0,stoparea:GVB:00364,,1,,
GVB:00370,00370,"Duivendrecht, Plataanstraat",52.332442,4.941002,0,stoparea:GVB:00370,,1,,
GVB:00371,00371,"Duivendrecht, Plataanstraat",52.332388,4.941032,0,stoparea:GVB:00370,,1,,
GVB:00419,00419,"Amsterdam, Wamelstraat",52.301487,4.985911,0,stoparea:GVB:00419,,1,,
GVB:00420,00420,"Amsterdam, Wamelstraat",52.301576,4.985558,0,stoparea:GVB:00419,,1,,
GVB:00421,00421,"Amsterdam, Veenendaalplein",52.30147,4.980853,0,stoparea:GVB:00421,,1,,
